"Continent","Android","Win7","Unknown","Nokia Unknown","WinXP","Series 40","Win8.1","Win10","Samsung","iOS","Windows Phone","Win8","OS X","WinVista","Chrome OS","BlackBerry OS","SymbianOS","Linux","Win98","LG","Firefox OS","Sony Ericsson","Win2003","Playstation"
Somalia ,63.27,7.51,9.21,5.65,0,3.22,2.26,1.56,0,1.27,0,1.21,0,0,0,0,0,1.79,0,0,0,0,0,0
Gabon ,49.93,15.19,3.2,0,2.82,1.75,2.62,2.4,1.77,2.73,2.95,2.02,2.17,0,0,4.91,0,3.49,0,0,0,0,0,0
Lao Peoples Democratic Republic ,43.9,15.59,3.5,1.17,0,1.42,3,2.9,0,21.22,2.66,0,1.65,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,22.7,23.81,6.28,0,1.63,0,8.47,17.03,0,8.61,0,2.5,5.02,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,58.81,10.35,13.92,0,0,1.48,2.15,2.06,0,1.29,0,1.27,1.4,0,0,0,0,3.8,0,0,0,0,0,0
Haiti ,53.87,11.9,7.77,1.06,1.12,0,3.63,3.16,0,4.23,1.78,1.91,2.65,0,0,1.3,0,3.81,0,0,0,0,0,0
Papua New Guinea ,49.92,6.22,28.5,6.58,0,0,1.22,0,0,1.27,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
Bermuda ,5.73,42.51,0,0,2.32,0,4.74,10.64,0,18.85,0,0,11.27,1.09,0,0,0,0,0,0,0,0,0,0
Benin ,50.91,13.66,9.65,1.4,2.96,2.17,2.78,1.55,0,1.12,2.37,2.37,0,0,0,0,0,6.18,0,0,0,0,0,0
Mongolia ,20.68,42.24,1.15,0,4.35,0,7.43,9.13,0,7.97,0,2.79,2.61,0,0,0,0,0,0,0,0,0,0,0
Niger ,72.57,3.23,9.6,2.08,0,1.27,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0
Malta ,15.64,25.66,1.18,0,3.2,0,10.97,18.88,0,10.29,0,1.6,8.05,1.73,0,0,0,1.8,0,0,0,0,0,0
Maldives ,47.83,16.38,4.82,0,0,0,5.46,5.83,0,10.85,0,1.86,2.2,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,11.23,25.08,0,0,4.55,0,7.63,13.39,0,16.29,0,1.11,15.15,1.51,0,0,0,2.29,0,0,0,0,0,0
Uzbekistan ,30.59,22.36,4.17,3.16,6.06,12.2,3.75,2.19,1.17,6.72,0,1.22,1.11,0,0,0,3.24,0,0,0,0,0,0,0
Afghanistan ,44.1,26.06,2.78,1.64,1.22,1.35,5.13,3.62,0,7.43,0,2.06,1.49,0,0,0,1.89,0,0,0,0,0,0,0
Burkina Faso ,53.41,9.38,12.36,1.04,1.93,1.02,2.24,1.41,2.97,1.16,0,2.06,1.02,0,0,0,0,4.4,0,3.6,0,0,0,0
Faroe Islands ,8.35,21.74,0,0,1.05,0,7.81,16.4,0,32.94,0,0,6.43,2.31,0,0,0,0,0,0,0,0,0,0
Iceland ,9.28,23.23,0,0,2.53,0,9.14,21.44,0,13.17,0,1.2,14.96,1.31,0,0,0,2.24,0,0,0,0,0,0
Cuba ,7.54,42.79,1.09,0,24.7,0,8.86,5.14,0,1.23,0,3.65,0,0,0,0,0,3.86,0,0,0,0,0,0
Macao ,16.27,28.37,1.41,0,2.78,0,4.93,9.61,0,26.28,0,1.35,7.97,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),60.19,8.26,9.69,1.64,0,0,1.48,1.15,1.6,2.14,0,1.23,1.25,0,0,1.51,0,4.27,0,2.16,0,0,0,0
Swaziland ,64.19,7.54,2.59,2.38,0,6.01,2.39,1.59,0,1.16,2.83,1.39,0,0,0,1.9,1.84,2.61,0,0,0,0,0,0
Botswana ,28.31,27.04,3.58,3.63,1.83,3.15,7.33,5.55,0,2.36,2.33,3.94,2.35,0,0,2.1,2.27,0,0,0,2.48,0,0,0
Reunion ,17.72,20.65,3.16,0,1.73,0,11.47,15.85,0,7.56,0,3.18,10.78,1.1,0,0,0,5,0,0,0,0,0,0
Bahamas ,21.95,20.23,3.8,0,2.15,0,8.55,15.1,0,14.14,0,1.18,8.6,0,1.27,0,0,0,0,0,0,0,0,0
Guinea ,47.2,6.68,26.8,0,0,2.71,2.22,1.38,1.23,2.13,0,1.95,1.4,0,0,0,0,1.93,0,0,0,0,0,0
Kyrgyz Republic ,26.84,34.76,2,1.76,5.1,2.64,7.84,6.89,0,5.35,0,1.35,2.1,0,0,0,1.19,1.01,0,0,0,0,0,0
Suriname ,38.77,18.88,4.43,0,1.77,0,8.94,10.53,0,6.83,0,2.39,1.99,0,0,2.64,0,0,0,0,0,0,0,0
Lesotho ,47.49,6.09,7.31,7.46,0,16.66,2.03,1.17,1.64,0,2.28,1.28,0,0,0,1.37,1.55,1.51,0,0,0,0,0,0
Guyana ,35.83,19.89,8.23,0,1.29,0,7.39,11.06,0,5.63,0,2.52,1.2,0,0,3.74,0,0,0,0,0,0,0,0
Mauritania ,50.13,18.39,5.49,1.75,4.92,3.49,2.02,2.14,1.2,3.74,0,1.8,1.08,0,0,0,0,0,0,1.58,0,0,0,0
Barbados ,19.72,21.1,4.22,0,3.03,0,9.25,19.74,0,10.34,0,1.4,6.07,1.1,0,0,0,1.12,0,0,0,0,0,0
Togo ,42.6,13.26,11.78,1.45,7.04,1.25,3.49,2.97,0,1.17,1.95,2.89,1.31,0,0,0,1.06,5.33,0,1.02,0,0,0,0
